postal_code,yelp_1,yelp_2,yelp_3,yelp_4,total_restaurants,review_count,stars,creditcard,bikeparking,outdoorseating,appointmentonly,goodforkids,perc_yelp_1,perc_yelp_2,perc_yelp_3,perc_yelp_4,city,agi,costindex,A02650,A00200,A00300,A00600,A00650,A01000,agi_1,agi_2,agi_3,agi_4,agi_5,agi_6,affluence,medianincome,zillowmeanprice19,zillowmeanprice18,whole_foods,core_power,trader_joes
15215,10,16,5,0,31,23.22580645,3.903225806,0.935483871,0.967741935,0.258064516,0.064516129,0.870967742,0.322580645,0.516129032,0.161290323,0,Pittsburgh,705838,78.66,717327,449036,4262,30992,25858,28910,2070,1330,750,550,920,700,2,73585,178.0293794,168.9001809,0,0,0
15216,47,70,5,2,124,33.79032258,3.637096774,0.975806452,0.774193548,0.137096774,0.056451613,0.89516129,0.379032258,0.564516129,0.040322581,0.016129032,Pittsburgh,722688,78.66,733942,557384,3353,10410,8058,13565,4000,3490,1840,1090,1490,400,2,48409,118.0098501,112.1679927,0,0,0
15217,86,104,21,4,215,51.76744186,3.660465116,0.934883721,0.944186047,0.148837209,0.046511628,0.953488372,0.4,0.48372093,0.097674419,0.018604651,Pittsburgh,1653451,78.66,1678549,945811,14435,72100,59264,105934,3440,2330,1600,1010,1970,1810,3,59637,215.4680287,195.0070138,0,0,0
15218,24,29,5,0,58,36.10344828,3.49137931,0.844827586,0.75862069,0.224137931,0.068965517,0.913793103,0.413793103,0.5,0.086206897,0,Pittsburgh,439838,78.66,447165,340896,1976,8692,6794,9696,2510,1980,1030,650,830,300,2,48658,112.8549044,102.8091904,0,0,0
15220,27,52,4,4,87,22.73563218,3.511494253,0.942528736,0.770114943,0.137931034,0.08045977,0.908045977,0.310344828,0.597701149,0.045977011,0.045977011,Pittsburgh,614149,78.66,621957,441692,3631,10408,9164,21582,2720,2300,1620,1220,1410,240,2,51164,121.1817871,126.8543754,0,0,0
15221,22,23,1,1,47,29.87234043,3.808510638,0.914893617,0.808510638,0.170212766,0.085106383,0.978723404,0.468085106,0.489361702,0.021276596,0.021276596,Pittsburgh,732533,78.66,742696,535858,3671,13083,10698,13416,6140,4420,1990,1160,1230,300,2,37425,85.38097709,81.62342655,0,0,0
15222,177,277,61,8,523,78.05162524,3.657743786,0.965583174,0.913957935,0.271510516,0.026768642,0.780114723,0.338432122,0.529636711,0.116634799,0.015296367,Pittsburgh,414352,78.66,419874,242104,3601,52642,45846,65090,660,510,430,300,510,430,3,42764,388.0114975,382.0285007,0,0,0
15224,78,67,8,1,154,46.66233766,3.980519481,0.857142857,0.941558442,0.207792208,0.058441558,0.837662338,0.506493506,0.435064935,0.051948052,0.006493506,Pittsburgh,244894,78.66,248948,201512,691,2275,1768,5240,2200,1970,820,270,330,90,2,30284,147.2108546,143.6331131,0,0,0
15226,33,26,1,0,60,27.71666667,3.858333333,0.883333333,0.85,0.133333333,0,0.9,0.55,0.433333333,0.016666667,0,Pittsburgh,354949,78.66,358909,282408,1646,3244,2369,3847,2470,2170,1300,750,670,50,2,47119,114.8242238,107.6281508,0,0,0
15227,21,26,4,0,51,13.66666667,3.617647059,0.941176471,0.941176471,0.078431373,0.039215686,0.960784314,0.411764706,0.509803922,0.078431373,0,Pittsburgh,781274,78.66,789468,610218,3684,7327,5507,7986,5100,4240,2500,1530,1670,190,2,48094,105.8386018,97.80130578,0,0,0
15229,18,14,0,0,32,16.78125,3.515625,0.875,0.78125,0.1875,0,0.96875,0.5625,0.4375,0,0,Pittsburgh,450447,78.66,456288,353301,1977,5179,4005,6251,2360,1890,1360,910,1070,180,2,55734,129.0502415,130.6342043,0,0,0
