,address,type,price,features,labels
0,"812 4th St, Braddock, PA 15104",Apartment for sale,"$49,000","['Studio', '--', '1,828']","['sqft', 'ba']"
1,"316 Kenmawr Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['3', '1', '930']","['sqft', 'bds', 'ba']"
2,"201-203 Holland Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['6', '1', '2,184']","['sqft', 'bds', 'ba']"
3,"526 Hawkins Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['3', '1', '1,472']","['sqft', 'bds', 'ba']"
4,"1187 Ridge Ave, Braddock, PA 15104",For sale by owner,"$64,999","['2', '2', '1,232']","['sqft', 'bds', 'ba']"
5,"901 6th St, Braddock, PA 15104",House for sale,"$31,000","['2', '2', '1,280']","['sqft', 'bds', 'ba']"
6,"220 Mills Ave, Braddock, PA 15104",Auction,"$29,516","['4', '1', '1,610']","['sqft', 'bds', 'ba']"
7,"500 Mills Ave APT 1, Braddock, PA 15104",Apartment for rent,$425/mo,"['1', '1', '650']","['bd', 'sqft', 'ba']"
8,"1534 Ridge Ave, Braddock, PA 15104",House for rent,$795/mo,"['3', '1', '1,408']","['sqft', 'bds', 'ba']"
9,"411 Kenmawr Ave, Braddock, PA 15104",House for sale,"$50,000","['3', '2', '1,116']","['sqft', 'bds', 'ba']"
10,"1514 Wolf Ave N Braddock, Pittsburgh, PA 15104",House for rent,$850/mo,"['3', '1', '1,070']","['sqft', 'bds', 'ba']"
11,"1023 Highland St, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '1.5', '900']","['sqft', 'bds', 'ba']"
12,"527 Garden Ct, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '2', '1,800']","['sqft', 'bds', 'ba']"
13,"633 1st St, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '1.5', '1,500']","['sqft', 'bds', 'ba']"
14,"613 Baldridge Ave, Braddock, PA 15104",House for sale,"$125,000","['3', '2', '1,472']","['sqft', 'bds', 'ba']"
15,"503 Ann St, Braddock, PA 15104",Townhouse for sale,"$15,000","['4', '1', '1,428']","['sqft', 'bds', 'ba']"
16,"100 2nd St, Rankin, PA 15104",House for sale,"$670,000","['Studio', '--', '--']","['sqft', 'ba']"
17,"203 Comrie Ave, Braddock, PA 15104",House for sale,"$44,900","['3', '1', '1,296']","['sqft', 'bds', 'ba']"
18,"1802 Wolfe Ave, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['8', '4', '2,838']","['sqft', 'bds', 'ba']"
19,"811 2nd St, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['2', '1', '1,120']","['sqft', 'bds', 'ba']"
20,"1063 Wolfe Ave, Braddock, PA 15104",Pre-foreclosure / Auction, ,"['3', '1', '2,025']","['sqft', 'bds', 'ba']"
21,"1020 Kirkpatrick Ave, Braddock, PA 15104",Pre-foreclosure / Auction,$--,"['4', '1.5', '1,936']","['sqft', 'bds', 'ba']"
22,"Mills Ave, Braddock, PA 15104",Foreclosure,$--,"['4', '1', '1,610']","['sqft', 'bds', 'ba']"
23,"1912 Johnson St, Braddock, PA 15104",House for rent,$795/mo,"['3', '1', '1,283']","['sqft', 'bds', 'ba']"
24,"1761 Hassam Rd, Coraopolis, PA 15108",House for sale,"$399,000","['3', '4', '3,148']","['sqft', 'bds', 'ba']"
25,"103 Hemingway Ln, Kennedy Twp, PA 15108",House for rent,"$2,500/mo","['4', '3', '2,188']","['sqft', 'bds', 'ba']"
26,"314 Parkridge Ln, Coraopolis, PA 15108",Townhouse for sale,"$164,900","['2', '2', '1,300']","['sqft', 'bds', 'ba']"
27,"105 Heldon Dr, Coraopolis, PA 15108",House for rent,"$2,545/mo","['4', '3', '2,152']","['sqft', 'bds', 'ba']"
28,"101 Fitzrandolph Dr, Coraopolis, PA 15108",House for sale,"$389,900","['4', '3', '2,376']","['sqft', 'bds', 'ba']"
29,"1402 4th Ave, Coraopolis, PA",For Rent,,"['$600', '$725']","['2 bds', '1 bd']"
30,"1432 Rosedale Ave, Coraopolis, PA 15108",House for sale,"$120,000","['3', '2', '2,621']","['sqft', 'bds', 'ba']"
31,"Waterford Landing | 1200 Landing Ln, Moon Township, PA",Waterford Landing,,"['$954+', '$1,199+', '$1,644+']","['2 bds', '1 bd', '3 bds']"
32,"259 Moon Clinton Rd, Coraopolis, PA 15108",House for sale,"$224,900","['3', '2', '1,534']","['sqft', 'bds', 'ba']"
33,"276 Overlook Ct, Coraopolis, PA 15108",Townhouse for rent,"$1,550/mo","['2', '1.5', '1,116']","['sqft', 'bds', 'ba']"
34,"205 Coraopolis Rd # C8, Coraopolis, PA 15108",Condo for sale,"$79,500","['2', '1', '919']","['sqft', 'bds', 'ba']"
35,"521 Forest Green Dr, Coraopolis, PA 15108",Condo for sale,"$72,900","['2', '2', '1,092']","['sqft', 'bds', 'ba']"
36,"116 Amy Jo Ln, Coraopolis, PA 15108",House for sale,"$699,900","['5', '5', '3,787']","['sqft', 'bds', 'ba']"
37,"223 Havenwood Dr, Coraopolis, PA 15108",House for sale,"$229,924","['3', '2', '1,178']","['sqft', 'bds', 'ba']"
38,"186 Lockheed Dr, Moon Twp, PA",New construction,"$295,580","['3', '3', '1,842']","['sqft', 'bds', 'ba']"
39,"188 Lockheed Dr, Moon Twp, PA",New construction,"$295,580","['3', '3', '1,823']","['sqft', 'bds', 'ba']"
40,"1039 State Ave, Coraopolis, PA 15108",Apartment for rent,$850/mo,"['1', '1', '--']","['bd', 'sqft', 'ba']"
41,"203 Coraopolis Rd APT 3, Coraopolis, PA 15108",Apartment for rent,$925/mo,"['2', '1', '919']","['sqft', 'bds', 'ba']"
42,"284 Forest Grove Rd, Coraopolis, PA 15108",House for rent,$725/mo,"['2', '1', '--']","['sqft', 'bds', 'ba']"
43,"914 1st Ave # 1ST, Coraopolis, PA 15108",Apartment for rent,$850/mo,"['2', '1', '--']","['sqft', 'bds', 'ba']"
44,"461 Amherst Ave, Coraopolis, PA 15108",House for sale,"$233,900","['3', '3', '1,363']","['sqft', 'bds', 'ba']"
45,"Foxwood Apartments, Foxwood 31",Apartment for rent,$599/mo,"['Studio', '1', '--']","['sqft', 'ba']"
46,"117 Olde Manor Ln, Coraopolis, PA 15108",House for sale,"$699,000","['5', '6', '4,299']","['sqft', 'bds', 'ba']"
47,"St. Leo Plan, Wiltshire Estates",New construction,"$245,900+","['3', '2.5', '1,805']","['sqft', 'bds', 'ba']"
48,"189 Cheryl Dr, Sewickley, PA",New construction,"$325,000","['5', '3', '2,100']","['sqft', 'bds', 'ba']"
49,"00000 Mcguire & Conway Wall, Economy, PA 15143",Lot / Land for sale,"$37,900",['1.51'],['acres lot']
50,"1944 Georgetown Dr, Sewickley, PA 15143",Townhouse for sale,"$292,900","['3', '3', '1,744']","['sqft', 'bds', 'ba']"
51,"1702 Sturbridge Dr, Sewickley, PA 15143",House for sale,"$849,000","['4', '5', '3,854']","['sqft', 'bds', 'ba']"
52,"2388 Rochester Rd, Sewickley, PA 15143",For sale by owner,"$195,000","['2', '2', '1,300']","['sqft', 'bds', 'ba']"
53,"601 Harbaugh St APT 6, Sewickley, PA 15143",Apartment for rent,"$1,150/mo","['2', '1', '1,000']","['sqft', 'bds', 'ba']"
54,"870 Thorn St, Sewickley, PA 15143",House for sale,"$675,000","['5', '3', '3,786']","['sqft', 'bds', 'ba']"
55,"1799 Locust Rd, Sewickley, PA 15143",Foreclosure,"$259,400","['3', '4', '2,846']","['sqft', 'bds', 'ba']"
56,"319 Centennial Ave # 318, Sewickley, PA 15143",Apartment for rent,"$1,195/mo","['2', '1', '1,000']","['sqft', 'bds', 'ba']"
57,"424 Glenfield Rd, Sewickley, PA 15143",Apartment for rent,$725/mo,"['1', '1', '600']","['bd', 'sqft', 'ba']"
58,"713 Nevin Ave, Sewickley, PA 15143",Apartment for rent,"$1,095/mo","['2', '1', '800']","['sqft', 'bds', 'ba']"
59,"710 Thorn St, Sewickley, PA 15143",House for sale,"$1,100,000","['3', '2', '2,158']","['sqft', 'bds', 'ba']"
60,"760 Campmeeting Rd, Sewickley, PA 15143",House for sale,"$318,000","['4', '4', '2,666']","['sqft', 'bds', 'ba']"
61,"157 Mccoy Place Rd, Sewickley, PA 15143",House for sale,"$540,000","['4', '4', '--']","['sqft', 'bds', 'ba']"
62,"1817 Rutgers Ln, Sewickley, PA 15143",Townhouse for rent,"$2,150/mo","['3', '2.5', '1,976']","['sqft', 'bds', 'ba']"
63,"125 Valley Rd, Sewickley, PA 15143",House for sale,"$120,000","['2', '2', '960']","['sqft', 'bds', 'ba']"
64,"10 Pine St APT 1, Sewickley, PA 15143",Apartment for rent,$650/mo,"['1', '1', '600']","['bd', 'sqft', 'ba']"
65,"1120 Castletown Ct, Sewickley, PA 15143",House for sale,"$975,000","['4', '6', '4,524']","['sqft', 'bds', 'ba']"
66,"312 Highland Ln, Sewickley, PA 15143",House for sale,"$385,000","['3', '3', '1,600']","['sqft', 'bds', 'ba']"
67,"116 Deer Valley Dr, Sewickley, PA 15143",House for sale,"$389,900","['5', '4', '2,672']","['sqft', 'bds', 'ba']"
68,"210 Frederick Ave, Sewickley, PA 15143",House for sale,"$399,000","['3', '2', '1,320']","['sqft', 'bds', 'ba']"
69,"714 Orchard Ter, Sewickley, PA 15143",House for sale,"$319,900","['3', '2', '1,918']","['sqft', 'bds', 'ba']"
70,"Landon Plan, The Estates at Franklin Fields",New construction,"$572,990+","['4', '2.5', '2,837']","['sqft', 'bds', 'ba']"
71,"Kennedy Plan, Sewickley Heights Estates",New construction,"$750,900+","['3', '2.5', '3,392']","['sqft', 'bds', 'ba']"
72,"108 Town View St, Pittsburgh, PA 15209",House for sale,"$195,000","['3', '2', '1,064']","['sqft', 'bds', 'ba']"
73,"256 Elbe Dr, Pittsburgh, PA 15209",House for sale,"$325,000","['3', '2', '1,344']","['sqft', 'bds', 'ba']"
74,"327 Marzolf Rd, Pittsburgh, PA 15209",House for sale,"$220,000","['3', '2', '1,591']","['sqft', 'bds', 'ba']"
75,"626 Seavey Rd, Pittsburgh, PA 15209",Townhouse for rent,$885/mo,"['2', '1', '1,350']","['sqft', 'bds', 'ba']"
76,"135 Isolda Dr, Pittsburgh, PA 15209",House for sale,"$255,000","['3', '2', '1,576']","['sqft', 'bds', 'ba']"
77,"104 Franklin Ave, Pittsburgh, PA 15209",House for sale,"$220,000","['3', '2', '1,200']","['sqft', 'bds', 'ba']"
78,"102 Walters Ave, Pittsburgh, PA 15209",Foreclosure,"$14,500","['4', '1', '1,966']","['sqft', 'bds', 'ba']"
79,"153 Wynne St, Pittsburgh, PA 15209",House for rent,"$1,000/mo","['2', '1', '792']","['sqft', 'bds', 'ba']"
80,"224 Grant Ave FL 2ND, Millvale, PA 15209",Apartment for rent,$600/mo,"['1', '1', '--']","['bd', 'sqft', 'ba']"
81,"302 Hillwood Rd, Pittsburgh, PA 15209",House for sale,"$155,000","['3', '1', '1,000']","['sqft', 'bds', 'ba']"
82,"2 bed, 1.0 bath, 2000 sqft, $1,200 | 21 Howard St, Millvale, PA","2 bed, 1.0 bath, 2000 sqft, $1,200",,"['$1,200', '$1,195']","['2 bds', '3 bds']"
83,"518 Fieldcrest Dr, Pittsburgh, PA 15209",House for sale,"$225,000","['3', '2', '988']","['sqft', 'bds', 'ba']"
84,"1030 Anderson Rd, Pittsburgh, PA 15209",House for sale,"$199,900","['3', '1', '1,463']","['sqft', 'bds', 'ba']"
85,"200 Regina St, Pittsburgh, PA 15209",House for sale,"$219,900","['3', '3', '1,486']","['sqft', 'bds', 'ba']"
86,"1643 Anderson Rd, Pittsburgh, PA 15209",House for sale,"$224,900","['3', '2', '1,250']","['sqft', 'bds', 'ba']"
87,"0 Hoffman Rd, Reserve, PA 15209",Lot / Land for sale,"$199,000",['20.76'],['acres lot']
88,"618 Patrick St, Pittsburgh, PA 15209",For sale by owner,"$57,000","['3', '2', '1,064']","['sqft', 'bds', 'ba']"
89,"20 Sherman St # 2, Pittsburgh, PA 15209",Apartment for rent,$695/mo,"['2', '1', '--']","['sqft', 'bds', 'ba']"
90,"216 Vermillion Dr, Pittsburgh, PA 15209",House for rent,"$1,395/mo","['3', '2', '1,411']","['sqft', 'bds', 'ba']"
91,"459 Marzolf Rd, Pittsburgh, PA 15209",House for sale,"$189,900","['3', '2', '1,036']","['sqft', 'bds', 'ba']"
92,"130 Hiram St, Pittsburgh, PA 15209",House for sale,"$265,000","['3', '2', '1,736']","['sqft', 'bds', 'ba']"
93,"488 Seavey Rd, Pittsburgh, PA 15209",House for sale,"$390,000","['4', '4', '2,500']","['sqft', 'bds', 'ba']"
94,"13 Reserve St, Pittsburgh, PA 15209",House for sale,"$139,900","['3', '2', '1,535']","['sqft', 'bds', 'ba']"
95,"837 Stanton Ave, Pittsburgh, PA 15209",Pre-foreclosure / Auction,$--,"['2', '1', '1,416']","['sqft', 'bds', 'ba']"
96,"179 1/2 Saint Joseph St, Pittsburgh, PA 15210",House for rent,$850/mo,"['2', '1', '1,216']","['sqft', 'bds', 'ba']"
97,"1727 Mount Joseph St, Pittsburgh, PA 15210",House for rent,$909/mo,"['3', '1', '1,218']","['sqft', 'bds', 'ba']"
98,"27 Beltzhoover Ave, Pittsburgh, PA 15210",Apartment for rent,$875/mo,"['2', '2', '1,400']","['sqft', 'bds', 'ba']"
99,"227 Linnview Ave, Pittsburgh, PA 15210",House for sale,"$35,000","['3', '2', '1,576']","['sqft', 'bds', 'ba']"
100,"1723 Parkfield St, Pittsburgh, PA 15210",House for rent,$595/mo,"['2', '1', '1,066']","['sqft', 'bds', 'ba']"
101,"1804 Arlington Ave, Pittsburgh, PA 15210",House for rent,$925/mo,"['3', '2', '1,660']","['sqft', 'bds', 'ba']"
102,"110 Giffin Ave, Pittsburgh, PA 15210",House for rent,$850/mo,"['2', '1', '1,034']","['sqft', 'bds', 'ba']"
103,"1825 Arlington Ave, Pittsburgh, PA 15210",House for rent,"$1,100/mo","['3', '1', '1,680']","['sqft', 'bds', 'ba']"
104,"1652 Oakhurst St, Pittsburgh, PA 15210",House for rent,$895/mo,"['2', '2', '1,100']","['sqft', 'bds', 'ba']"
105,"405 Conniston Ave, Pittsburgh, PA 15210",House for sale,"$110,000","['3', '2', '875']","['sqft', 'bds', 'ba']"
106,"974 Manton Way # 1, Pittsburgh, PA 15210",Apartment for rent,$840/mo,"['2', '1', '--']","['sqft', 'bds', 'ba']"
107,"2420 Eccles St, Pittsburgh, PA 15210",House for rent,"$1,100/mo","['3', '2', '1,659']","['sqft', 'bds', 'ba']"
108,"79 Beltzhoover Ave FL 2, Pittsburgh, PA 15210",Townhouse for rent,"$1,300/mo","['3', '1.5', '--']","['sqft', 'bds', 'ba']"
109,"430 Brownsville Rd, Pittsburgh, PA",For Rent,,['$600+'],['1 bd']
110,"422 Freeland St, Pittsburgh, PA 15210",Townhouse for rent,$900/mo,"['2', '1', '2,232']","['sqft', 'bds', 'ba']"
111,"424 Freeland 424 Freeland, Pittsburgh, PA 15210",Apartment for rent,$900/mo,"['2', '1', '--']","['sqft', 'bds', 'ba']"
112,"1213 Brownsville Rd # 5, Pittsburgh, PA 15210",Apartment for rent,$750/mo,"['3', '1', '--']","['sqft', 'bds', 'ba']"
113,"1300 Arlington Ave, Pittsburgh, PA 15210",Apartment for sale,"$80,000","['Studio', '--', '2,874']","['sqft', 'ba']"
114,"1505 Eleanor St, Pittsburgh, PA 15210",House for sale,"$99,900","['3', '1', '1,408']","['sqft', 'bds', 'ba']"
115,"1419 Nobles Ln, Pittsburgh, PA 15210",House for sale,"$55,000","['3', '1', '1,542']","['sqft', 'bds', 'ba']"
116,"2 bed, 1.0 bath, $665 | 120 Stamm Ave, Pittsburgh, PA","2 bed, 1.0 bath, $665",,['$640+'],['2 bds']
117,"2424 Kimbol St # 2, Pittsburgh, PA 15210",Apartment for rent,"$1,050/mo","['1', '1', '--']","['bd', 'sqft', 'ba']"
118,"2341 Saw Mill Run Blvd, Pittsburgh, PA 15210",House for sale,"$39,900","['5', '1', '1,650']","['sqft', 'bds', 'ba']"
119,"18 Mount Oliver St, Pittsburgh, PA 15210",House for sale,"$97,000","['3', '1', '1,242']","['sqft', 'bds', 'ba']"
120,"112 Washington Pl, Pittsburgh, PA",For Rent,,"['$850+', '$1,000+']","['1 bd', 'Studio']"
121,"Kaufmann's Grand on Fifth Avenue | 400 5th Ave, Pittsburgh, PA",Kaufmann's Grand on Fifth Avenue,,"['$1,153+', '$1,556+', '$1,919+']","['2 bds', '1 bd', 'Studio']"
122,"807 Clarissa St, Pittsburgh, PA 15219",House for sale,"$139,900","['3', '2', '1,387']","['sqft', 'bds', 'ba']"
123,"City View | 1420 Centre Ave, Pittsburgh, PA",City View,,"['$1,202+', '$1,377+', '$1,495+']","['2 bds', '1 bd', 'Studio']"
124,"3341 Mcneil Pl, Pittsburgh, PA 15219",House for rent,"$1,350/mo","['2', '2', '900']","['sqft', 'bds', 'ba']"
125,"Glasshouse Pittsburgh | 160 E Station Square Dr, Pittsburgh, PA",Glasshouse Pittsburgh,,"['$1,610+', '$2,655+']","['2 bds', '1 bd']"
126,"1860 Cliff St, Pittsburgh, PA 15219",Lot / Land for sale,"$23,000","['1,350']",['sqft lot']
127,"Cliff St LOT 2, Hill District, PA 15219",Lot / Land for sale,"$23,000","['1,350']",['sqft lot']
128,"Cliff St LOT 1, Hill District, PA 15219",Lot / Land for sale,"$23,000","['1,350']",['sqft lot']
129,"3374 Webster Ave, Pittsburgh, PA 15219",House for sale,"$52,000","['2', '1', '1,584']","['sqft', 'bds', 'ba']"
130,"41 Gist St, Pittsburgh, PA 15219",Townhouse for rent,$900/mo,"['2', '1', '--']","['sqft', 'bds', 'ba']"
131,"3206 Downing St, Pittsburgh, PA 15219",House for sale,"$175,000","['2', '1', '1,199']","['sqft', 'bds', 'ba']"
132,"1202 5th Ave # 1, Pittsburgh, PA 15219",Apartment for rent,"$2,000/mo","['3', '2.5', '1,800']","['sqft', 'bds', 'ba']"
133,"112 Washington Pl APT 17D, Pittsburgh, PA 15219",Condo for sale,"$179,900","['1', '2', '922']","['bd', 'sqft', 'ba']"
134,"3139 Brackenridge St, Pittsburgh, PA 15219",House for rent,"$1,800/mo","['4', '1', '1,620']","['sqft', 'bds', 'ba']"
135,"Fifth Avenue School Lofts | 1800 5th Ave, Pittsburgh, PA",Fifth Avenue School Lofts,,"['$1,600+']",['2 bds']
136,"2801 Wylie Ave, Pittsburgh, PA 15219",House for sale,"$189,900","['Studio', '--', '--']","['sqft', 'ba']"
137,"3234 Dobson St, Pittsburgh, PA 15219",House for rent,"$1,300/mo","['2', '1', '1,078']","['sqft', 'bds', 'ba']"
138,"3446 Melwood Ave, Pittsburgh, PA 15219",Apartment for rent,"$1,300/mo","['2', '1.5', '1,200']","['sqft', 'bds', 'ba']"
139,"3052 Phelan Way # 12, Pittsburgh, PA 15219",Apartment for rent,"$1,500/mo","['1', '1', '950']","['bd', 'sqft', 'ba']"
140,"42 Gist St, Pittsburgh, PA 15219",House for rent,"$1,000/mo","['2', '1', '1,025']","['sqft', 'bds', 'ba']"
141,"334 Hancock St APT 1A, Pittsburgh, PA 15219",Apartment for rent,$975/mo,"['2', '1', '--']","['sqft', 'bds', 'ba']"
142,"1921 Webster Ave APT 3, Pittsburgh, PA 15219",Apartment for rent,$750/mo,"['2', '1', '--']","['sqft', 'bds', 'ba']"
143,"2109 Rose St, Pittsburgh, PA 15219",Pre-foreclosure / Auction, ,"['4', '1.5', '1,163']","['sqft', 'bds', 'ba']"
144,"City Vista | 325 Elizabeth Dr, Pittsburgh, PA",City Vista,,"['$1,408', '$1,308+', '$1,543+', '$1,804']","['1 bd', '3 bds', 'Studio', '2 bds']"
145,"2114 Swallow Hill Rd, Pittsburgh, PA 15220",House for sale,"$235,000","['4', '2', '1,568']","['sqft', 'bds', 'ba']"
146,"Noblestown Rd, Pittsburgh, PA 15220",House for rent,"$1,295/mo","['4', '2', '1,800']","['sqft', 'bds', 'ba']"
147,"142 Sheldon Ave, Pittsburgh, PA 15220",For sale by owner,"$208,900","['3', '2', '1,080']","['sqft', 'bds', 'ba']"
148,"1306 Carnahan Rd, Pittsburgh, PA 15220",House for sale,"$115,000","['3', '2', '1,232']","['sqft', 'bds', 'ba']"
149,"2371 Perricrest Dr, Pittsburgh, PA 15220",For sale by owner,"$149,900","['2', '2', '976']","['sqft', 'bds', 'ba']"
150,"1031 Greenlawn Dr, Pittsburgh, PA 15220",House for sale,"$159,900","['3', '2', '1,296']","['sqft', 'bds', 'ba']"
151,"114 W Manilla Ave, Pittsburgh, PA 15220",House for rent,"$1,600/mo","['3', '2', '1,600']","['sqft', 'bds', 'ba']"
152,"914 Chartiers # HULTON, West End, PA 15220",Condo for sale,"$69,900","['3', '1', '--']","['sqft', 'bds', 'ba']"
153,"2120 Greentree Rd APT 605E, Pittsburgh, PA 15220",Condo for rent,"$1,200/mo","['2', '2', '1,216']","['sqft', 'bds', 'ba']"
154,"17 Elmhurst Rd, Pittsburgh, PA 15220",House for rent,"$1,995/mo","['3', '2.5', '2,338']","['sqft', 'bds', 'ba']"
155,"914 Chartiers # HULTON, Elliott, PA 15220",House for sale,"$69,900","['3', '1', '--']","['sqft', 'bds', 'ba']"
156,"50 Rose Leaf Rd, Pittsburgh, PA 15220",House for sale,"$264,900","['4', '3', '1,904']","['sqft', 'bds', 'ba']"
157,"1108 Chartiers Ave, Pittsburgh, PA 15220",Apartment for sale,"$164,900","['3', '3', '2,840']","['sqft', 'bds', 'ba']"
158,"1080 Steuben St APT 2R, Pittsburgh, PA 15220",Apartment for rent,$850/mo,"['2', '1', '800']","['sqft', 'bds', 'ba']"
159,"340 Orchard Spring Rd, Pittsburgh, PA 15220",House for sale,"$229,900","['3', '2', '1,218']","['sqft', 'bds', 'ba']"
160,"611 S Main St, Pittsburgh, PA 15220",House for rent,"$1,200/mo","['3', '2', '1,704']","['sqft', 'bds', 'ba']"
161,"18 W Manilla Ave, Pittsburgh, PA 15220",House for sale,"$184,900","['4', '2', '1,349']","['sqft', 'bds', 'ba']"
162,"0 Carnahan Rd, Banksville/westwood, PA 15220",Lot / Land for sale,"$42,500","['8,102']",['sqft lot']
163,"2120 Greentree Rd # 506 E, Pittsburgh, PA 15220",Condo for sale,"$99,900","['2', '2', '--']","['sqft', 'bds', 'ba']"
164,"166 Arla Dr, Pittsburgh, PA 15220",House for sale,"$279,900","['3', '2', '1,570']","['sqft', 'bds', 'ba']"
165,"Lorenz Ave, Pittsburgh, PA 15220",Apartment for rent,$775/mo,"['1', '1', '--']","['bd', 'sqft', 'ba']"
166,"Lorenz Ave, Pittsburgh, PA 15220",Apartment for rent,$750/mo,"['1', '1', '--']","['bd', 'sqft', 'ba']"
167,"1422 Orchardview Dr, Pittsburgh, PA 15220",House for rent,"$1,695/mo","['3', '2', '1,384']","['sqft', 'bds', 'ba']"
168,"4028 Howley St, Pittsburgh, PA 15224",House for rent,"$1,500/mo","['2', '1', '1,000']","['sqft', 'bds', 'ba']"
169,"4780 Cypress St # 2, Pittsburgh, PA 15224",Apartment for rent,"$1,550/mo","['2', '2', '1,100']","['sqft', 'bds', 'ba']"
170,"247 S Pacific Ave, Pittsburgh, PA 15224",House for sale,"$318,000","['4', '2', '2,300']","['sqft', 'bds', 'ba']"
171,"247 S A Pacific Ave, Bloomfield, PA 15224",House for sale,"$318,000","['4', '2', '--']","['sqft', 'bds', 'ba']"
172,"419 Taylor St, Pittsburgh, PA 15224",Apartment for rent,"$1,150/mo","['1', '1', '800']","['bd', 'sqft', 'ba']"
173,"4738 4740 Friendship Ave, Pittsburgh, PA 15224",Apartment for sale,"$625,000","['12', '7', '6,000']","['sqft', 'bds', 'ba']"
174,"Yew St, Pittsburgh, PA 15224",House for rent,"$1,350/mo","['2', '1', '1,188']","['sqft', 'bds', 'ba']"
175,"536 Gross St, Pittsburgh, PA 15224",Townhouse for rent,"$1,725/mo","['3', '2', '1,600']","['sqft', 'bds', 'ba']"
176,"301 1/2 S Winebiddle St, Bloomfield, PA",For Rent,,"['$795', '$950']","['2 bds', '1 bd']"
177,"445 Ella St # 2, Bloomfield, PA 15224",Apartment for rent,"$1,250/mo","['1', '1', '--']","['bd', 'sqft', 'ba']"
178,"601 Gross St, Pittsburgh, PA 15224",Apartment for sale,"$239,900","['Studio', '--', '--']","['sqft', 'ba']"
179,"4615 Choate Way, Pittsburgh, PA 15224",House for rent,"$1,200/mo","['3', '1.5', '1,800']","['sqft', 'bds', 'ba']"
180,"320 Taylor St, Pittsburgh, PA 15224",House for sale,"$329,900","['3', '2', '1,459']","['sqft', 'bds', 'ba']"
181,"5139 Kincaid St, Pittsburgh, PA 15224",House for sale,"$329,000","['3', '3', '1,428']","['sqft', 'bds', 'ba']"
182,"S Pacific Ave, Pittsburgh, PA 15224",Apartment for rent,$875/mo,"['1', '1', '--']","['bd', 'sqft', 'ba']"
183,"332 S Mathilda St, Pittsburgh, PA",For Rent,,"['$1,325+', '$1,900']","['2 bds', '3 bds']"
184,"4559 Friendship Ave, Pittsburgh, PA 15224",Townhouse for rent,"$1,275/mo","['2', '1', '1,200']","['sqft', 'bds', 'ba']"
185,"5045 Broad St, Pittsburgh, PA 15224",Apartment for sale,"$250,000","['Studio', '--', '--']","['sqft', 'ba']"
186,"218 Taylor St, Pittsburgh, PA 15224",House for rent,"$1,800/mo","['3', '1.5', '1,500']","['sqft', 'bds', 'ba']"
187,"4718 Kincaid St, Pittsburgh, PA 15224",House for rent,"$1,420/mo","['3', '1', '1,120']","['sqft', 'bds', 'ba']"
188,"4748 Friendship Ave, 1st floor location",Apartment for rent,$990+/mo,"['1', '1', '750']","['bd', 'sqft', 'ba']"
189,"5010 Friendship Ave, Pittsburgh, PA 15224",Townhouse for sale,"$299,900","['3', '1', '1,428']","['sqft', 'bds', 'ba']"
190,"4510 Penn Ave, Pittsburgh, PA 15224",For sale by owner,"$220,000","['2', '1', '1,400']","['sqft', 'bds', 'ba']"
191,"Morrow Park City Apartments | 5250 Liberty Ave, Pittsburgh, PA",Morrow Park City Apartments,,"['$1,210+', '$1,460+', '$1,955+', '$2,805+']","['1 bd', '3 bds', 'Studio', '2 bds']"
192,"2 bedroom apartment private entrance, First floor",Apartment for rent,$700+/mo,"['2', '1', '700']","['sqft', 'bds', 'ba']"
193,"Grand Ave, Pittsburgh, PA 15225",Apartment for rent,$700/mo,"['2', '1', '500']","['sqft', 'bds', 'ba']"
194,"215 New Haven Ln, Pittsburgh, PA 15225",House for sale,"$174,900","['3', '2', '1,390']","['sqft', 'bds', 'ba']"
195,"120 2nd St, Pittsburgh, PA 15225",Foreclosed, ,"['2', '1', '1,224']","['sqft', 'bds', 'ba']"
196,"202-204 4th St, Pittsburgh, PA 15225",Pre-foreclosure / Auction, ,"['6', '2.5', '1,799']","['sqft', 'bds', 'ba']"
197,"218 Oak Ln, Pittsburgh, PA 15225",House for sale,"$139,900","['3', '2', '864']","['sqft', 'bds', 'ba']"
198,"7122 Grand Ave, Pittsburgh, PA 15225",House for sale,"$162,000","['3', '2', '1,672']","['sqft', 'bds', 'ba']"
199,"129 1st St, Aspinwall, PA 15225",Pre-foreclosure / Auction, ,"['3', '2', '1,378']","['sqft', 'bds', 'ba']"
200,"136 2nd St, Pittsburgh, PA 15225",Pre-foreclosure / Auction, ,"['3', '1', '1,356']","['sqft', 'bds', 'ba']"
201,"7119 Grand Ave, Pittsburgh, PA 15225",Apartment for sale,"$169,900","['Studio', '--', '1,548']","['sqft', 'ba']"
202,"4907 Grand Ave, Pittsburgh, PA 15225",Apartment for sale,"$99,900","['Studio', '--', '2,862']","['sqft', 'ba']"
