,address,type,price,features,labels
1329,"9675 S Dromedary Dr, Tempe, AZ 85284",House for sale,"$475,000","['3', '2', '2,167']","['sqft', 'bds', 'ba']"
1330,"382 W Vinedo Ln, Tempe, AZ 85284",House for sale,"$525,000","['3', '3', '2,308']","['sqft', 'bds', 'ba']"
1331,"341 W Secretariat Dr, Tempe, AZ 85284",Auction,"$626,750","['--', '4', '3,596']","['sqft', 'bds', 'ba']"
1332,"7704 S Taylor Dr, Tempe, AZ 85284",Townhouse for rent,"$2,000/mo","['3', '2', '1,738']","['sqft', 'bds', 'ba']"
1333,"9323 S Wally Ave, Tempe, AZ 85284",House for sale,"$469,500","['3', '2', '1,917']","['sqft', 'bds', 'ba']"
1334,"1054 W Larona Ln, Tempe, AZ 85284",House for sale,"$429,000","['4', '2', '2,055']","['sqft', 'bds', 'ba']"
1335,"694 E Sunburst Ln, Tempe, AZ 85284",House for sale,"$897,500","['5', '4.5', '4,315']","['sqft', 'bds', 'ba']"
1336,"4324 E Reins Rd, Gilbert, AZ 85297",House for sale,"$560,000","['5', '3', '3,241']","['sqft', 'bds', 'ba']"
1337,"3406 S Luiseno Blvd, Gilbert, AZ 85297",House for rent,"$1,495/mo","['3', '2', '1,575']","['sqft', 'bds', 'ba']"
1338,"4699 S Twinleaf Dr, Gilbert, AZ 85297",House for rent,"$1,850/mo","['3', '2.5', '2,673']","['sqft', 'bds', 'ba']"
1339,"4634 S Cobblestone St, Gilbert, AZ 85297",House for sale,"$375,000","['4', '2.5', '2,136']","['sqft', 'bds', 'ba']"
1340,"4721 E Portola Valley Dr UNIT 101, Gilbert, AZ 85297",Townhouse for sale,"$249,900","['2', '2', '1,336']","['sqft', 'bds', 'ba']"
1341,"Treviso Plan, Whispering Rock",New construction,"$538,990+","['4', '4', '3,330']","['sqft', 'bds', 'ba']"
1342,"2843 E Trigger Way, Gilbert, AZ 85297",House for sale,"$379,900","['4', '2.5', '2,242']","['sqft', 'bds', 'ba']"
1343,"3870 S Bridal Vail Dr, Gilbert, AZ 85297",House for sale,"$340,000","['3', '2', '1,844']","['sqft', 'bds', 'ba']"
1344,"4627 S Joshua Tree Ln, Gilbert, AZ 85297",House for sale,"$355,000","['3', '2', '2,309']","['sqft', 'bds', 'ba']"
1345,"3769 S Loback Ln, Gilbert, AZ 85297",House for rent,"$1,365/mo","['3', '2', '1,253']","['sqft', 'bds', 'ba']"
1346,"1320 E Bautista Rd, Gilbert, AZ 85297",House for rent,"$2,450/mo","['4', '2.5', '2,622']","['sqft', 'bds', 'ba']"
1347,"4565 S Banning Dr, Gilbert, AZ 85297",House for sale,"$850,000","['5', '4', '3,735']","['sqft', 'bds', 'ba']"
1348,"Sky View Ranch | 4632 E Germann Rd, Gilbert, AZ",Sky View Ranch,,"['$1,123+', '$1,258+', '$1,703']","['2 bds', '1 bd', '3 bds']"
1349,"4615 E Calistoga Dr, Gilbert, AZ 85297",House for sale,"$560,000","['6', '3.5', '4,602']","['sqft', 'bds', 'ba']"
1350,"914 E Doral Ct, Gilbert, AZ 85297",House for sale,"$450,000","['3', '2', '1,885']","['sqft', 'bds', 'ba']"
1351,"4460 E Blue Sage Rd, Gilbert, AZ 85297",House for rent,"$2,000/mo","['4', '2.5', '2,399']","['sqft', 'bds', 'ba']"
1352,"3886 S Marigold Way, Gilbert, AZ",For Rent,,"['$1,495+']",['3 bds']
1353,"3724 E Sebastian Ln, Gilbert, AZ 85297",House for rent,"$1,595/mo","['4', '3', '2,504']","['sqft', 'bds', 'ba']"
1354,"Verona Plan, Whispering Rock",New construction,"$554,990+","['5', '4', '3,509']","['sqft', 'bds', 'ba']"
1355,"3595 E Red Oak Ln, Gilbert, AZ 85297",House for rent,"$1,995/mo","['4', '2', '2,036']","['sqft', 'bds', 'ba']"
1356,"3756 E Stampede Dr, Gilbert, AZ 85297",Coming soon,"$319,900","['4', '3', '2,162']","['sqft', 'bds', 'ba']"
1357,"E Wildhorse Dr, Gilbert, AZ 85297",House for rent,"$2,000/mo","['4', '2.5', '2,105']","['sqft', 'bds', 'ba']"
1358,"2934 E Portola Valley Dr, Gilbert, AZ 85297",House for sale,"$900,000","['4', '3.5', '4,145']","['sqft', 'bds', 'ba']"
1359,"1149 E Goldcrest St, Gilbert, AZ 85297",House for sale,"$529,900","['4', '3', '2,469']","['sqft', 'bds', 'ba']"
1360,"4133 W Menadota Dr, Glendale, AZ 85308",House for sale,"$289,000","['3', '2', '1,567']","['sqft', 'bds', 'ba']"
1361,"7519 W Kimberly Way, Glendale, AZ 85308",House for rent,"$1,495/mo","['3', '2', '1,659']","['sqft', 'bds', 'ba']"
1362,"7718 W Villa Theresa Dr, Glendale, AZ 85308",House for sale,"$475,000","['4', '3', '3,634']","['sqft', 'bds', 'ba']"
1363,"21525 N 58th Dr, Glendale, AZ 85308",Coming soon,"$540,000","['4', '3', '2,700']","['sqft', 'bds', 'ba']"
1364,"20615 N 57th Dr, Glendale, AZ 85308",House for rent,"$2,300/mo","['3', '2', '2,422']","['sqft', 'bds', 'ba']"
1365,"5234 W Tonopah Dr, Glendale, AZ 85308",Coming soon,"$475,000","['4', '2', '1,925']","['sqft', 'bds', 'ba']"
1366,"5279 W Mohawk Ln, Glendale, AZ 85308",House for sale,"$650,000","['4', '3', '2,829']","['sqft', 'bds', 'ba']"
1367,"San Prado | 5959 W Utopia Rd, Glendale, AZ",San Prado,,"['$1,248+', '$1,334+', '$1,624+']","['2 bds', '1 bd', '3 bds']"
1368,"19540 N 51st Dr, Glendale, AZ 85308",Coming soon,"$270,000","['4', '2.5', '2,045']","['sqft', 'bds', 'ba']"
1369,"The Place on 51st | 19955 N 51st Ave, Glendale, AZ",The Place on 51st,,"['$1,425+', '$1,525']","['2 bds', '3 bds']"
1370,"Sage Stone at Arrowhead Apartments | 6233 W Behrend Dr, Glendale, AZ",Sage Stone at Arrowhead Apartments,,"['$1,125+', '$1,375+']","['2 bds', '1 bd']"
1371,"18413 N 55th Ln, Glendale, AZ 85308",House for sale,"$250,000","['3', '2', '1,064']","['sqft', 'bds', 'ba']"
1372,"6208 W Potter Dr, Glendale, AZ 85308",Coming soon,"$543,900","['4', '3', '3,402']","['sqft', 'bds', 'ba']"
1373,"Sierra Canyon | 17500 N 67th Ave, Glendale, AZ",Sierra Canyon,,"['$1,115+', '$1,337+']","['2 bds', '1 bd']"
1374,"7708 W Mcrae Way, Glendale, AZ 85308",House for sale,"$260,000","['2', '2', '1,402']","['sqft', 'bds', 'ba']"
1375,"4124 W Wescott Dr, Glendale, AZ 85308",House for sale,"$329,900","['3', '2', '1,412']","['sqft', 'bds', 'ba']"
1376,"Adobe Ridge | 4545 W Beardsley Rd, Glendale, AZ",Adobe Ridge,,"['$1,189+', '$1,517+', '$2,267']","['2 bds', '1 bd', '3 bds']"
1377,"21420 N 56th Ave, Glendale, AZ 85308",House for rent,"$6,450/mo","['4', '3.5', '3,584']","['sqft', 'bds', 'ba']"
1378,"4419 W Sandra Cir, Glendale, AZ 85308",House for sale,"$254,900","['4', '2', '1,673']","['sqft', 'bds', 'ba']"
1379,"5325 W Muriel Dr, Glendale, AZ 85308",House for sale,"$425,000","['4', '2.5', '3,346']","['sqft', 'bds', 'ba']"
1380,"4943 W Jeremy Dr, Glendale, AZ 85308",House for sale,"$265,000","['3', '2.5', '1,766']","['sqft', 'bds', 'ba']"
1381,"18002 N 42nd Dr, Glendale, AZ 85308",House for sale,"$269,900","['3', '2', '1,546']","['sqft', 'bds', 'ba']"
1382,"18777 N 43rd Dr UNIT 25, Glendale, AZ",New construction,"$249,900","['3', '2.5', '1,401']","['sqft', 'bds', 'ba']"
1383,"6767 W Sonnet Dr, Glendale, AZ 85308",House for sale,"$395,000","['4', '2', '2,242']","['sqft', 'bds', 'ba']"
1384,"8427 S 50th Dr, Laveen, AZ 85339",House for sale,"$244,900","['4', '2.5', '2,182']","['sqft', 'bds', 'ba']"
