Zip,Median $,Pop,city
85224,64746,42796,Chandler
85225,57304,69810,Phoenix
85226,74939,37321,Phoenix
85233,77779,37564,Mesa
85234,80070,50014,Phoenix
85248,76887,29798,Mesa
85249,100623,36908,Chandler
85250,65018,15906,Phoenix
85251,55343,34390,Phoenix
85253,124687,17047,Phoenix
85254,87185,45801,Phoenix
85255,120666,37270,Scottsdale
85256,31892,4974,Scottsdale
85257,49327,26755,Phoenix
85258,75452,23342,Scottsdale
85259,107864,21422,Scottsdale
85260,84168,36056,Scottsdale
85262,93923,8156,Tempe
85264,29232,278,Scottsdale
85266,104076,11406,Scottsdale
85281,36350,57348,Phoenix
85282,52018,48671,Phoenix
85283,53997,44813,Phoenix
85284,117190,16479,Phoenix
85286,90420,38930,Mesa
85295,90611,38332,Mesa
85296,83742,36799,Chandler
85297,82132,26979,Chandler
85301,33510,60161,Phoenix
85302,46827,36909,Phoenix
85303,51462,30310,Phoenix
85304,65895,25883,Phoenix
85305,65771,10822,Phoenix
85306,55879,24191,Phoenix
85308,75335,63876,Phoenix
85310,92927,19007,Phoenix
85326,53190,47835,Tempe
85331,95488,26960,Phoenix
85339,71757,35586,Phoenix
85345,49216,56208,Phoenix
85353,54869,31011,Phoenix
85355,78852,8745,Phoenix
85374,50962,47146,Phoenix
85377,124258,3051,Scottsdale
85381,71355,24249,Phoenix
85382,69722,40454,Phoenix
85392,73655,35310,Phoenix
85705,25811,57521,Las Vegas
87701,31055,20848,Las Vegas
89002,75534,18700,Henderson
89011,60941,10127,Henderson
89012,78899,15782,Las Vegas
89014,59652,35971,Las Vegas
89015,55883,35735,Henderson
89019,113434,2545,Las Vegas
89030,35239,54926,Las Vegas
89031,69313,31521,Las Vegas
89032,55044,26763,Las Vegas
89044,81508,221,Las Vegas
89052,80294,14347,Las Vegas
89074,71088,46018,Las Vegas
89081,53445,2670,Las Vegas
89084,65299,18,Las Vegas
89101,29139,50493,Las Vegas
89102,38807,37525,Las Vegas
89103,42954,48057,Las Vegas
89104,42182,42070,Las Vegas
89106,31945,26163,Las Vegas
89107,50828,35061,Las Vegas
89108,47423,66811,Las Vegas
89109,37456,9490,Las Vegas
89110,48929,62118,Las Vegas
89113,74528,8333,Las Vegas
89115,39105,52029,Las Vegas
89117,62122,51984,Las Vegas
89118,51243,14837,Las Vegas
89119,39337,48423,Las Vegas
89120,58036,21533,Las Vegas
89121,47453,60672,Las Vegas
89122,43881,27097,Las Vegas
89123,67682,38548,Las Vegas
89124,77932,1002,Las Vegas
89128,62825,37054,Las Vegas
89129,72034,32467,Las Vegas
89130,70745,25598,Las Vegas
89131,88336,11029,Las Vegas
89134,77659,25348,Las Vegas
89135,79718,3733,Las Vegas
89139,69890,2319,Las Vegas
89141,75854,244,Las Vegas
89142,55857,22509,Las Vegas
89143,76035,2366,Las Vegas
89144,85724,11518,Las Vegas
89145,61560,22836,Las Vegas
89146,57758,18172,Las Vegas
89147,59080,38957,Las Vegas
89148,69580,817,Las Vegas
89149,81150,10914,Las Vegas
89156,55872,23055,Las Vegas
89161,83842,180,Las Vegas
89166,77774,405,Las Vegas
89169,35305,31003,Las Vegas
89178,94455,237,Las Vegas
89179,85444,38,Las Vegas
89183,68761,8556,Las Vegas
89191,40099,1500,Las Vegas
89502,38624,45159,Henderson
90001,34350,57110,Las Vegas
93013,68142,16076,Las Vegas
94523,86243,33569,Phoenix
95224,63341,429,Chandler
