,address,type,price,features,labels
2073,"1800 Edmond St UNIT 215, Las Vegas, NV 89146",Condo for rent,$995/mo,"['2', '2', '926']","['sqft', 'ba', 'bds']"
2074,"6747 W Charleston Blvd APT 2, Las Vegas, NV 89146",Condo for sale,"$135,000","['2', '2', '996']","['sqft', 'ba', 'bds']"
2075,"2671 Plan, Crystal Falls",New construction,"$411,388+","['5', '3', '2,671']","['sqft', 'ba', 'bds']"
2076,"5012 Souza Dr, Las Vegas, NV 89146",Townhouse for sale,"$225,000","['2', '3', '1,251']","['sqft', 'ba', 'bds']"
2077,"5075 Eldora Ave APT 4, Las Vegas, NV 89146",Condo for sale,"$149,900","['2', '2', '1,173']","['sqft', 'ba', 'bds']"
2078,"2180 Plan, Infinity Bay",New construction,"$340,388+","['3', '3', '2,180']","['sqft', 'ba', 'bds']"
2079,"3120 Plan, Crystal Falls",New construction,"$435,888+","['5', '3', '3,120']","['sqft', 'ba', 'bds']"
2080,"Fifty 101 | 5101 Obannon Dr, Las Vegas, NV",Fifty 101,,"['$999', '$1,069+', '$1,320']","['2 bds', '1 bd', '3 bds']"
2081,"2260 Plan, Crystal Falls",New construction,"$369,888+","['3', '3', '2,260']","['sqft', 'ba', 'bds']"
2082,"3214 Cereus Ave, Las Vegas, NV 89146",House for sale,"$299,800","['4', '2', '1,836']","['sqft', 'ba', 'bds']"
2083,"6405 Vicuna Dr, Las Vegas, NV 89146",House for sale,"$335,000","['4', '3', '2,253']","['sqft', 'ba', 'bds']"
2084,"6750 Del Rey Ave UNIT 215, Las Vegas, NV 89146",Condo for sale,"$163,000","['2', '2', '954']","['sqft', 'ba', 'bds']"
2085,"6721 W Charleston Blvd APT 1, Las Vegas, NV 89146",Condo for sale,"$140,000","['3', '2', '1,204']","['sqft', 'ba', 'bds']"
2086,"5308 Jade Crystal Ave, Las Vegas, NV",New construction,"$437,906","['5', '3', '3,120']","['sqft', 'ba', 'bds']"
2087,"2624 Infinity Bay Ct, Las Vegas, NV 89146",House for rent,"$2,000/mo","['4', '2.5', '2,120']","['sqft', 'ba', 'bds']"
2088,"8820 Ashley Park Ave, Las Vegas, NV 89148",House for sale,"$265,000","['2', '3', '1,471']","['sqft', 'ba', 'bds']"
2089,"127 Wicked Wedge Way, Las Vegas, NV 89148",House for rent,"$1,900/mo","['3', '2.5', '1,829']","['sqft', 'ba', 'bds']"
2090,"6321 Yampa River Way, Las Vegas, NV 89148",House for sale,"$254,900","['2', '3', '1,364']","['sqft', 'ba', 'bds']"
2091,"6358 Windfresh Dr, Las Vegas, NV 89148",House for sale,"$499,000","['5', '4', '3,716']","['sqft', 'ba', 'bds']"
2092,"156 Duck Hollow Ave, Spring Valley, NV 89148",House for rent,"$1,550/mo","['4', '2.5', '2,063']","['sqft', 'ba', 'bds']"
2093,"5181 Fiery Sky Ridge St, Las Vegas, NV 89148",House for sale,"$365,000","['3', '3', '2,104']","['sqft', 'ba', 'bds']"
2094,"9749 Gentle Spirit Dr, Las Vegas, NV 89148",House for sale,"$330,000","['3', '2', '1,656']","['sqft', 'ba', 'bds']"
2095,"7443 Corcoran St, Las Vegas, NV 89148",House for rent,"$1,650/mo","['3', '2.5', '1,421']","['sqft', 'ba', 'bds']"
2096,"9180 Wine Cellar Ave, Las Vegas, NV 89148",House for sale,"$305,000","['3', '3', '1,935']","['sqft', 'ba', 'bds']"
2097,"9180 Epworth Ave, Las Vegas, NV 89148",House for sale,"$247,900","['3', '3', '1,390']","['sqft', 'ba', 'bds']"
2098,"10112 White Mulberry Dr, Las Vegas, NV 89148",House for sale,"$329,900","['3', '2', '1,668']","['sqft', 'ba', 'bds']"
2099,"8828 Promised Land Ave, Las Vegas, NV 89148",House for sale,"$250,000","['3', '3', '1,297']","['sqft', 'ba', 'bds']"
2100,"Zerzura | 5175 Jerry Tarkanian Way, Las Vegas, NV",Zerzura,,"['$1,273+', '$1,385+']","['2 bds', '1 bd']"
2101,"South Beach Apartments | 8920 W Russell Rd, Las Vegas, NV",South Beach Apartments,,"['$1,565+', '$1,595+']","['2 bds', '1 bd']"
2102,"6037 Laughing Creek St, Las Vegas, NV 89148",House for rent,"$1,700/mo","['4', '3', '2,144']","['sqft', 'ba', 'bds']"
2103,"8856 Brindisi Park Ave, Las Vegas, NV 89148",House for rent,"$1,400/mo","['2', '2.5', '1,422']","['sqft', 'ba', 'bds']"
2104,"5662 Merced St # OPTION, Las Vegas, NV 89148",Apartment for rent,"$1,499/mo","['4', '2.5', '1,680']","['sqft', 'ba', 'bds']"
2105,"783 Cherry Hills Ct, Las Vegas, NV 89148",House for sale,"$429,999","['4', '3', '2,461']","['sqft', 'ba', 'bds']"
2106,"293 Sea Rim Ave, Las Vegas, NV 89148",House for rent,"$1,550/mo","['3', '2.5', '2,588']","['sqft', 'ba', 'bds']"
2107,"Solana, A Warmington Properties Community | 8960 W Post Rd, Las Vegas, NV","Solana, A Warmington Properties Community",,"['$1,265+', '$1,345+']","['2 bds', '1 bd']"
2108,"9419 Sparkling Wing Ct, Las Vegas, NV 89148",House for sale,"$344,990","['4', '3', '1,924']","['sqft', 'ba', 'bds']"
